disease,total_risk_score,risk_category,primary_risk_factors,modifiable_factors,genetic_predisposition,environmental_risk,age_adjusted_risk,gender_adjusted_risk,prevention_potential,age_score,gender_score,bmi_score,smoking_status_score,alcohol_consumption_score,physical_activity_score,family_history_score,blood_pressure_score,cholesterol_level_score,blood_sugar_level_score,stress_level_score,sleep_quality_score,diet_quality_score,environmental_factors_score
Arthritis,5.7,Moderate,"Age, Environmental Factors, Smoking Status","Stress, Diet",Moderate,High,6.53,5.42,Moderate,6.41,5.95,1.16,9.71,5.88,6.21,9.02,1.88,6.49,5.81,1.56,4.53,7.81,7.4
Epilepsy,5.16,Moderate,"Family History, Smoking Status, BMI","Smoking, Diet",Unknown,Moderate,5.41,5.46,High,9.41,1.0,4.87,6.66,3.86,1.79,7.69,2.64,7.58,5.31,5.83,1.05,10.0,4.49
Crohns Disease,5.96,Moderate,"Smoking Status, Stress Level, Blood Pressure","Smoking, Exercise",Low,High,7.69,7.63,Low,3.0,9.68,8.17,2.69,6.65,4.52,7.53,2.47,2.55,5.27,5.94,7.61,8.2,9.12
Breast Cancer,6.83,High,"Cholesterol Level, Gender, Stress Level","Stress, Smoking",Low,Moderate,10.05,8.2,High,8.35,4.76,9.9,9.27,9.13,4.22,2.22,7.03,9.56,6.03,5.28,4.6,7.21,8.1
Leukemia,5.16,Moderate,"Physical Activity, Diet Quality, Age","Sleep, Stress",High,Low,6.43,5.79,Low,7.64,1.95,3.15,7.56,3.11,8.32,5.07,6.06,6.08,7.17,5.28,1.81,5.72,3.25
UTI,5.48,Moderate,"Alcohol Consumption, Sleep Quality, Blood Pressure","Exercise, Smoking",Moderate,Low,5.41,5.1,Low,6.34,2.63,2.03,9.38,7.68,1.56,8.37,4.68,4.47,7.35,5.91,2.36,6.91,7.04
Asthma,5.46,Moderate,"Stress Level, Physical Activity, Gender","Exercise, Sleep",Moderate,Moderate,6.65,7.05,High,4.79,8.93,8.81,4.72,7.75,2.02,1.67,5.33,7.42,5.69,7.61,1.29,7.19,3.22
Ear Infection,5.31,Moderate,"BMI, Sleep Quality, Alcohol Consumption","Exercise, Diet",High,Low,6.31,5.12,High,1.56,9.97,6.9,3.19,9.48,2.61,7.18,6.05,3.1,5.39,5.17,2.56,8.41,2.83
Meniere Disease,6.38,Moderate,"Cholesterol Level, BMI, Stress Level","Sleep, Diet",Low,Moderate,5.35,7.86,Moderate,6.06,4.49,9.76,5.65,8.36,2.73,9.63,7.87,1.87,2.01,9.95,8.92,7.34,4.74
Endometriosis,6.41,Moderate,"Gender, Stress Level, BMI","Sleep, Smoking",Low,Moderate,8.94,6.33,High,3.22,7.23,5.34,7.33,9.27,3.17,9.72,1.74,6.76,7.2,9.56,4.8,7.09,7.26
Salmonella,5.06,Moderate,"Age, Environmental Factors, Stress Level","Smoking, Stress",Moderate,Moderate,5.86,5.38,Low,5.44,5.32,3.93,2.19,6.09,9.33,1.62,4.52,3.78,6.76,6.23,4.04,8.49,3.14
Celiac Disease,6.72,High,"Family History, Gender, BMI","Sleep, Exercise",Unknown,High,9.01,7.04,Moderate,9.45,9.57,8.84,8.32,4.89,9.89,6.37,9.03,6.45,1.43,8.62,1.51,2.54,7.21
Gastritis,4.81,Moderate,"Age, Family History, Smoking Status","Sleep, Diet",Unknown,Low,6.35,5.36,High,6.36,3.83,2.21,1.38,9.53,5.5,6.88,2.18,7.94,7.13,2.58,5.92,4.47,1.43
Stroke,5.2,Moderate,"Gender, Blood Sugar Level, Age","Sleep, Stress",Unknown,Low,4.63,5.24,High,1.15,1.97,4.08,3.51,4.48,2.85,8.36,9.62,6.33,9.98,1.21,9.91,5.64,3.7
Salmonella,5.56,Moderate,"Stress Level, Blood Pressure, Gender","Exercise, Diet",Low,Moderate,5.05,6.38,Moderate,9.32,7.18,6.18,3.75,4.18,6.62,1.13,6.15,8.6,6.88,8.19,3.98,2.86,2.82
Bipolar Disorder,5.61,Moderate,"Physical Activity, Environmental Factors, Stress Level","Stress, Diet",Moderate,High,4.66,5.62,Low,1.82,8.22,7.04,8.33,5.85,7.12,1.18,6.56,9.05,4.77,3.67,9.93,1.77,3.27
Dengue Fever,5.27,Moderate,"BMI, Blood Pressure, Family History","Sleep, Exercise",Unknown,Moderate,6.77,5.01,Low,3.9,9.94,3.66,8.73,2.44,2.57,6.11,6.07,2.26,7.91,6.43,2.22,4.22,7.32
Lung Cancer,6.76,High,"Blood Pressure, Environmental Factors, Blood Sugar Level","Diet, Stress",High,Low,6.01,7.33,High,3.71,9.36,1.41,4.67,8.57,8.51,2.0,9.14,9.18,7.08,4.7,9.2,7.37,9.69
Hyperthyroidism,5.32,Moderate,"Stress Level, Environmental Factors, Blood Pressure","Stress, Diet",High,Low,6.9,5.41,Low,7.65,8.25,9.99,4.55,2.32,1.42,8.46,9.97,8.23,1.25,2.0,2.9,2.84,4.6
Typhoid,6.85,High,"Physical Activity, Gender, Age","Smoking, Exercise",Unknown,High,10.26,8.28,High,7.18,1.26,3.67,9.08,7.86,6.6,9.88,5.72,8.47,7.76,4.56,8.54,6.19,9.12
Osteoporosis,6.42,Moderate,"Sleep Quality, Gender, Environmental Factors","Stress, Exercise",Low,Moderate,6.79,6.97,Moderate,6.36,6.84,8.73,7.25,6.54,6.45,7.9,9.05,1.28,6.31,5.41,4.96,9.65,3.08
Hyperthyroidism,5.46,Moderate,"Age, Family History, Blood Sugar Level","Exercise, Sleep",Moderate,Low,6.8,4.95,High,3.17,5.97,1.7,4.56,3.01,3.38,9.0,9.99,4.76,1.9,5.82,8.09,7.74,7.39
Migraine,5.76,Moderate,"Cholesterol Level, Blood Pressure, Sleep Quality","Exercise, Diet",High,Low,6.27,6.39,Low,4.66,4.79,2.82,9.85,4.25,7.46,7.94,5.27,9.9,6.78,4.42,6.66,1.08,4.81
Metabolic Syndrome,4.75,Moderate,"Environmental Factors, Gender, Blood Pressure","Exercise, Diet",Unknown,High,6.52,5.52,Moderate,9.93,4.86,3.74,8.19,4.83,6.46,2.8,7.72,2.05,1.34,3.84,1.87,6.64,2.22
Appendicitis,4.89,Moderate,"Blood Pressure, Blood Sugar Level, Alcohol Consumption","Exercise, Stress",Moderate,Low,4.28,6.21,Moderate,2.82,4.96,2.74,5.62,3.24,1.89,9.77,6.62,3.24,4.78,2.29,9.91,3.42,7.2
Hyperthyroidism,4.5,Moderate,"Smoking Status, Physical Activity, Gender","Exercise, Stress",Moderate,High,6.1,4.45,Low,1.04,9.64,4.47,1.57,5.33,7.41,2.11,4.8,5.64,3.45,6.87,3.92,3.27,3.55
Eczema,4.64,Moderate,"Cholesterol Level, BMI, Family History","Smoking, Sleep",Moderate,High,4.55,5.79,High,8.53,4.15,2.61,8.4,3.79,9.35,4.95,4.82,1.21,3.31,1.15,5.98,3.39,3.28
Flu,5.46,Moderate,"Stress Level, Smoking Status, Alcohol Consumption","Sleep, Smoking",High,Low,4.55,6.73,Moderate,7.57,6.34,2.0,4.51,5.03,9.27,3.97,7.04,5.1,2.46,4.65,7.29,4.64,6.52
Gastritis,5.35,Moderate,"Blood Pressure, Blood Sugar Level, Diet Quality","Stress, Smoking",High,Low,5.74,6.93,Low,8.13,3.3,4.21,1.27,1.61,9.85,7.57,6.03,3.11,5.22,1.95,7.24,6.1,9.37
Coronary Artery Disease,5.6,Moderate,"Age, Environmental Factors, Blood Pressure","Exercise, Diet",Unknown,Low,6.06,5.94,Low,4.4,7.98,8.73,7.71,1.77,2.72,2.07,1.48,4.68,3.82,9.92,9.96,3.18,9.94
Macular Degeneration,5.88,Moderate,"Physical Activity, Stress Level, BMI","Diet, Smoking",Unknown,Moderate,5.09,5.3,Moderate,8.82,5.7,8.76,2.02,2.4,2.84,9.4,6.54,6.99,6.8,5.5,3.92,7.3,5.4
Stroke,5.97,Moderate,"Diet Quality, Blood Pressure, Blood Sugar Level","Smoking, Exercise",Moderate,Low,6.46,5.94,High,9.29,3.15,2.88,1.44,5.31,7.22,9.72,6.64,8.75,4.64,3.13,6.42,5.27,9.7
Bipolar Disorder,5.22,Moderate,"Blood Pressure, Age, Family History","Stress, Exercise",Low,High,4.19,5.82,Low,1.66,7.58,1.85,2.17,7.9,1.05,8.79,8.87,7.98,3.89,1.89,7.69,3.72,8.1
PTSD,5.33,Moderate,"BMI, Age, Cholesterol Level","Stress, Exercise",Moderate,Low,5.59,5.53,Moderate,4.41,9.3,2.66,7.05,4.05,7.38,4.44,6.86,3.91,2.04,2.7,5.72,6.21,7.84
Peptic Ulcer,5.98,Moderate,"Blood Sugar Level, Blood Pressure, Stress Level","Sleep, Smoking",Low,Low,6.71,6.16,High,5.14,5.87,3.9,5.39,9.52,5.0,7.21,2.59,9.51,8.23,5.18,8.46,5.85,1.82
IBS,5.0,Moderate,"Physical Activity, Blood Sugar Level, Smoking Status","Diet, Exercise",Moderate,High,5.44,5.35,Low,1.87,2.76,4.8,4.89,1.74,4.73,4.22,6.3,8.99,9.88,5.34,1.17,4.1,9.15
Anxiety Disorder,6.4,Moderate,"Sleep Quality, Environmental Factors, Gender","Sleep, Smoking",Moderate,Low,8.44,5.82,Low,5.29,4.02,3.64,2.81,1.83,9.64,7.64,7.87,7.49,6.61,7.6,9.74,7.6,7.76
Gout,5.81,Moderate,"Gender, Stress Level, Blood Pressure","Diet, Exercise",Unknown,High,6.54,7.14,High,9.95,3.12,2.1,2.06,5.44,3.2,3.83,6.89,8.73,4.8,9.18,9.54,3.22,9.29
Diabetes Type 2,5.52,Moderate,"Age, BMI, Family History","Diet, Stress",Unknown,High,5.26,7.12,Moderate,4.84,1.24,2.33,5.79,7.58,2.59,9.09,1.11,9.05,5.79,8.11,6.01,8.73,5.08
UTI,6.29,Moderate,"Blood Sugar Level, Family History, Physical Activity","Exercise, Stress",Low,Low,8.12,6.8,High,9.24,7.05,5.85,8.82,7.37,9.58,7.21,8.45,9.34,2.73,3.96,3.62,3.7,1.1
Ear Infection,5.41,Moderate,"Alcohol Consumption, Stress Level, Blood Pressure","Smoking, Exercise",High,Moderate,7.47,5.91,Low,8.28,3.4,9.1,5.31,1.45,3.9,2.79,4.62,8.0,4.98,6.9,7.9,1.37,7.74
Vertigo,4.94,Moderate,"Alcohol Consumption, Stress Level, Smoking Status","Stress, Exercise",Unknown,Moderate,5.03,5.43,High,3.65,9.9,3.11,9.43,5.7,1.34,2.43,3.05,5.17,3.77,1.58,3.93,8.28,7.84
Coronary Artery Disease,5.57,Moderate,"Environmental Factors, Physical Activity, Blood Pressure","Stress, Diet",Moderate,Low,8.28,5.43,Moderate,3.9,4.55,6.09,7.44,2.17,3.9,6.49,5.98,9.28,5.79,4.83,4.95,3.99,8.65
Sinusitis,6.16,Moderate,"BMI, Family History, Environmental Factors","Stress, Diet",Unknown,Moderate,5.63,7.73,High,7.67,1.57,6.42,8.63,5.66,1.76,7.81,7.95,8.01,3.84,9.8,6.07,9.63,1.4
Hepatitis C,4.92,Moderate,"Family History, Environmental Factors, Sleep Quality","Smoking, Diet",Moderate,High,5.24,4.6,High,1.33,6.32,1.06,4.07,6.42,6.05,5.95,4.06,6.64,4.09,4.43,3.89,9.9,4.68
Schizophrenia,5.78,Moderate,"Family History, Environmental Factors, Cholesterol Level","Smoking, Diet",High,Low,8.15,6.55,Low,6.19,2.9,9.92,7.28,7.21,9.25,6.46,1.15,3.48,4.18,9.9,5.28,6.08,1.61
Salmonella,5.69,Moderate,"Physical Activity, Smoking Status, Sleep Quality","Sleep, Stress",Moderate,High,5.41,5.3,High,9.06,2.29,8.33,1.39,4.12,5.35,4.26,9.5,6.06,4.19,7.56,1.13,8.47,7.99
Insomnia,4.63,Moderate,"Age, Blood Sugar Level, Smoking Status","Diet, Sleep",High,High,5.27,5.06,High,5.19,3.75,2.87,6.85,4.61,7.97,4.39,2.3,6.11,4.76,5.22,1.99,3.65,5.2
Eczema,6.45,Moderate,"Cholesterol Level, BMI, Age","Sleep, Exercise",High,Moderate,9.59,7.68,High,6.35,9.14,6.84,9.43,7.06,8.93,7.94,3.83,2.2,2.27,8.15,4.64,7.94,5.62
Crohns Disease,6.42,Moderate,"Age, Family History, Blood Sugar Level","Diet, Smoking",High,High,5.34,8.32,Low,9.9,1.97,6.76,7.07,9.37,9.32,6.71,5.23,2.08,8.33,3.68,3.73,7.02,8.67
Heart Attack,5.09,Moderate,"Blood Sugar Level, Gender, Sleep Quality","Exercise, Smoking",Low,Moderate,7.34,5.94,Moderate,2.64,1.03,9.29,5.15,3.86,7.15,2.8,4.82,7.49,6.98,6.42,5.34,4.56,3.72
Hearing Loss,6.0,Moderate,"Alcohol Consumption, Physical Activity, Stress Level","Diet, Sleep",Low,Low,7.27,7.59,High,9.65,3.6,8.05,7.52,6.77,1.54,9.32,2.43,5.71,8.1,4.27,8.3,1.31,7.49
Hypothyroidism,5.08,Moderate,"Cholesterol Level, Family History, Alcohol Consumption","Sleep, Exercise",Low,Low,5.76,6.22,Low,6.59,1.51,4.94,6.96,1.14,1.96,4.77,2.93,3.11,4.05,9.79,8.41,6.97,8.03
Leukemia,5.39,Moderate,"BMI, Sleep Quality, Age","Diet, Exercise",Low,High,7.89,5.76,High,5.21,2.61,2.52,8.52,6.26,8.94,6.99,3.13,6.86,6.72,4.77,2.81,5.85,4.31
Hemorrhoids,5.23,Moderate,"Family History, Age, Blood Sugar Level","Sleep, Stress",High,Low,6.95,5.61,Moderate,2.65,2.17,2.29,6.92,1.86,5.27,9.17,7.22,4.31,3.51,9.49,9.26,6.97,2.07
Obesity,4.97,Moderate,"Diet Quality, Age, Sleep Quality","Exercise, Diet",Moderate,Moderate,4.01,5.91,Moderate,7.97,7.33,7.8,3.08,3.84,1.11,3.6,9.57,2.97,8.44,2.08,1.95,4.44,5.39
ADHD,5.25,Moderate,"BMI, Gender, Stress Level","Smoking, Stress",Moderate,Low,6.86,4.83,Low,9.41,8.12,1.78,2.08,1.75,3.01,4.15,2.66,8.19,6.58,9.54,4.46,2.27,9.5
Hepatitis C,5.28,Moderate,"Blood Pressure, Smoking Status, Gender","Diet, Exercise",Unknown,High,7.3,6.38,Low,3.34,4.38,1.44,4.75,6.78,1.35,6.89,3.25,2.63,8.78,9.32,6.37,9.84,4.81
Glaucoma,5.76,Moderate,"Gender, Alcohol Consumption, Physical Activity","Stress, Sleep",Unknown,High,7.55,5.89,Moderate,1.7,8.85,4.56,2.63,4.9,7.77,2.57,9.8,4.0,3.12,7.09,9.18,8.82,5.65
Cluster Headache,5.12,Moderate,"Cholesterol Level, Blood Sugar Level, Family History","Stress, Exercise",High,Moderate,7.19,6.54,Moderate,9.11,5.92,7.52,1.38,5.86,4.41,1.83,8.17,4.5,1.31,3.9,5.99,9.37,2.46
Metabolic Syndrome,5.85,Moderate,"Diet Quality, Blood Pressure, Environmental Factors","Smoking, Exercise",Unknown,High,8.49,6.05,High,5.37,5.98,6.92,5.85,6.32,2.55,6.19,1.88,9.97,6.18,3.37,8.73,3.62,9.01
Gallstones,5.26,Moderate,"Age, Blood Pressure, Blood Sugar Level","Exercise, Diet",Moderate,Moderate,6.16,6.69,Low,5.15,3.6,3.63,6.0,4.79,1.59,7.99,7.7,7.78,2.23,9.78,6.21,2.26,4.96
Peptic Ulcer,5.17,Moderate,"Blood Sugar Level, Gender, Environmental Factors","Stress, Smoking",Unknown,High,7.41,5.98,Moderate,2.14,5.13,5.17,9.7,5.28,3.01,3.7,8.91,4.33,1.56,6.57,5.89,6.57,4.37
Parkinsons Disease,5.13,Moderate,"Age, Alcohol Consumption, Environmental Factors","Exercise, Stress",High,High,6.36,5.99,Low,6.92,5.31,3.54,1.13,1.12,5.19,5.48,4.76,3.72,6.73,9.95,4.43,6.89,6.69
Peptic Ulcer,4.64,Moderate,"Smoking Status, Environmental Factors, Family History","Exercise, Stress",Low,High,4.55,4.47,Moderate,3.91,3.7,2.82,5.77,5.23,5.25,9.51,2.05,4.3,3.96,5.25,9.79,1.74,1.73
Schizophrenia,5.21,Moderate,"Stress Level, Alcohol Consumption, Blood Pressure","Smoking, Stress",High,High,6.37,5.08,High,1.26,6.72,7.03,7.06,5.4,4.23,1.74,3.93,3.03,9.31,8.78,1.64,7.77,5.07
Multiple Sclerosis,5.75,Moderate,"Cholesterol Level, Sleep Quality, Environmental Factors","Smoking, Diet",Low,Low,7.14,6.23,High,8.23,6.21,6.3,6.99,6.24,3.35,1.02,8.89,5.54,4.05,6.39,9.05,3.59,4.63
Crohns Disease,3.79,Moderate,"Alcohol Consumption, Environmental Factors, BMI","Stress, Diet",Moderate,High,4.29,4.64,High,2.0,4.28,2.5,5.75,5.44,1.5,1.34,3.4,1.15,6.72,7.59,2.58,1.14,7.69
Osteoarthritis,6.69,High,"Alcohol Consumption, Diet Quality, Family History","Sleep, Stress",Unknown,High,9.81,6.25,Moderate,7.53,6.17,3.21,9.82,3.68,9.72,9.84,8.5,8.59,4.83,8.17,3.59,7.55,2.45
Kidney Stones,5.39,Moderate,"Environmental Factors, Diet Quality, Stress Level","Exercise, Stress",Moderate,Moderate,5.36,6.49,High,3.4,7.3,8.72,3.53,2.19,1.12,8.69,9.45,6.57,2.79,5.03,2.76,5.06,8.83
Kidney Stones,4.49,Moderate,"Gender, Smoking Status, Family History","Stress, Sleep",Unknown,Moderate,6.59,5.52,High,4.49,4.2,3.25,3.24,5.58,1.1,1.53,9.85,2.4,7.45,1.81,4.92,7.76,5.26
Lung Cancer,6.04,Moderate,"Blood Sugar Level, Family History, Blood Pressure","Exercise, Stress",Low,High,5.39,6.4,Low,5.92,6.17,1.22,8.9,4.9,6.42,9.81,3.06,5.64,4.13,8.57,5.18,7.51,7.06
Osteoporosis,5.54,Moderate,"Smoking Status, Sleep Quality, Family History","Smoking, Stress",High,High,5.21,5.18,Low,9.1,2.05,8.97,9.41,7.63,9.14,1.25,6.91,1.18,1.36,7.68,1.18,4.42,7.35
Tension Headache,5.51,Moderate,"Blood Pressure, Physical Activity, Family History","Stress, Smoking",High,Low,5.19,6.72,Moderate,8.63,3.7,4.09,3.9,3.57,3.36,6.72,4.36,4.38,6.83,8.27,5.23,7.67,6.45
Asthma,5.67,Moderate,"Environmental Factors, Gender, Blood Sugar Level","Exercise, Smoking",Low,High,6.43,5.14,Moderate,2.44,6.53,8.53,8.91,3.98,4.87,2.91,3.25,9.33,9.94,8.77,2.06,1.55,6.34
Dermatitis,5.63,Moderate,"Cholesterol Level, Diet Quality, Family History","Smoking, Diet",High,High,5.99,6.3,Moderate,8.51,3.17,5.89,8.7,7.54,5.66,5.86,7.74,8.38,1.33,5.1,1.43,7.61,1.84
Hepatitis B,5.35,Moderate,"Age, Cholesterol Level, Physical Activity","Stress, Smoking",Low,Moderate,6.28,6.83,High,4.51,3.0,8.47,4.9,4.05,2.37,7.93,2.19,8.74,3.62,6.44,3.67,5.92,9.05
GERD,4.53,Moderate,"Sleep Quality, Blood Sugar Level, BMI","Stress, Diet",High,Moderate,6.16,4.17,Low,1.66,3.33,5.19,1.64,8.17,3.94,3.21,6.76,8.98,2.32,6.95,2.15,1.91,7.19
Acid Reflux,5.16,Moderate,"Diet Quality, Blood Sugar Level, Alcohol Consumption","Smoking, Exercise",Low,Moderate,7.28,5.68,Low,6.89,6.97,3.75,7.58,3.85,8.05,3.13,3.54,7.86,3.35,5.9,3.2,2.49,5.73
Varicose Veins,7.06,High,"Sleep Quality, Blood Pressure, Diet Quality","Sleep, Smoking",Low,High,6.71,7.03,Moderate,7.6,4.25,9.58,7.41,7.02,9.31,8.49,3.51,7.19,7.37,7.8,7.03,2.9,9.34
Hyperthyroidism,6.65,High,"Age, Gender, Stress Level","Diet, Exercise",High,Low,7.02,6.28,Low,8.74,9.26,3.4,9.47,2.48,7.96,3.99,9.6,3.96,6.83,6.67,6.93,8.69,5.12
Tension Headache,5.64,Moderate,"Smoking Status, Sleep Quality, Environmental Factors","Exercise, Stress",Low,Low,6.65,5.41,Low,3.99,5.39,1.38,2.58,7.78,8.61,3.22,4.58,6.43,4.18,6.88,6.23,9.36,8.39
Glaucoma,5.39,Moderate,"Family History, Gender, Alcohol Consumption","Exercise, Smoking",Unknown,Moderate,6.46,4.86,High,5.5,2.19,5.16,2.03,8.23,7.23,6.45,2.79,8.14,9.81,7.6,6.16,2.32,1.81
Migraine,5.19,Moderate,"Alcohol Consumption, BMI, Gender","Diet, Sleep",Moderate,Low,5.91,5.27,Low,1.78,1.45,8.51,1.14,9.63,7.47,9.45,5.67,4.81,2.49,4.76,8.27,3.78,3.5
Hemorrhoids,4.43,Moderate,"Physical Activity, Smoking Status, Sleep Quality","Stress, Sleep",Moderate,High,4.73,4.86,Moderate,4.76,8.69,1.19,2.82,3.87,1.87,1.46,5.21,5.91,1.01,4.48,1.35,9.79,9.63
Salmonella,5.49,Moderate,"Stress Level, Smoking Status, Blood Sugar Level","Diet, Stress",High,Low,5.54,6.77,Low,4.79,5.51,3.29,1.42,6.1,6.42,5.82,4.01,2.31,9.59,9.68,2.85,6.6,8.4
Appendicitis,6.39,Moderate,"Physical Activity, BMI, Gender","Sleep, Stress",Moderate,Low,7.93,6.91,High,8.41,3.18,4.85,8.94,5.99,7.09,9.09,8.87,8.42,2.83,8.85,2.32,4.12,6.47
Lymphoma,5.85,Moderate,"Blood Pressure, Gender, Blood Sugar Level","Stress, Diet",Moderate,Moderate,7.11,6.24,Low,9.22,8.21,5.82,6.42,3.43,6.44,2.98,6.51,8.27,2.04,5.25,3.39,5.3,8.57
Salmonella,5.09,Moderate,"BMI, Alcohol Consumption, Sleep Quality","Sleep, Smoking",Unknown,Low,5.34,5.16,Low,3.28,5.04,5.09,2.65,8.76,8.76,8.93,9.94,1.13,5.34,1.65,1.88,3.03,5.78
Migraine,5.39,Moderate,"BMI, Stress Level, Blood Sugar Level","Sleep, Exercise",Unknown,Moderate,5.8,6.87,Moderate,4.91,6.8,9.97,1.76,2.16,5.57,7.24,9.2,7.67,5.22,2.89,9.34,1.5,1.21
IBS,5.72,Moderate,"Blood Pressure, Smoking Status, Gender","Sleep, Smoking",High,High,6.08,5.85,Low,4.4,3.08,7.46,5.18,1.96,7.99,5.62,2.73,5.92,9.34,2.03,8.35,8.44,7.53
Eczema,5.94,Moderate,"Cholesterol Level, BMI, Smoking Status","Sleep, Exercise",Unknown,Low,7.66,7.52,Low,8.44,2.63,7.5,7.8,2.65,5.77,8.54,4.99,8.0,1.62,4.07,9.41,3.15,8.58
Common Cold,4.45,Moderate,"Environmental Factors, Diet Quality, Cholesterol Level","Smoking, Exercise",High,Moderate,4.63,4.35,Low,4.82,6.31,1.12,3.14,9.6,9.1,1.43,6.94,1.1,4.64,1.62,2.63,5.19,4.63
Food Poisoning,6.39,Moderate,"Environmental Factors, Stress Level, Blood Sugar Level","Sleep, Smoking",High,High,5.84,7.52,High,9.11,9.21,1.04,6.73,5.13,8.63,5.48,7.27,9.31,5.46,6.99,9.81,2.02,3.21
Heart Failure,5.04,Moderate,"Gender, Alcohol Consumption, Environmental Factors","Smoking, Exercise",Moderate,Moderate,4.29,6.23,Low,7.23,5.98,8.42,7.32,5.33,1.45,9.25,1.46,1.01,5.7,3.47,2.2,6.15,5.54
Hemorrhoids,5.33,Moderate,"Family History, Blood Pressure, Blood Sugar Level","Sleep, Diet",Low,Low,5.56,5.02,High,4.97,1.17,6.15,5.02,5.05,9.45,8.0,7.94,6.23,1.28,3.89,2.98,3.52,8.9
Lymphoma,4.75,Moderate,"Family History, Blood Pressure, Stress Level","Diet, Stress",Unknown,Moderate,5.41,4.3,Moderate,4.07,3.47,3.42,7.9,6.08,5.68,3.5,9.54,4.28,4.77,2.0,3.74,5.63,2.38
Metabolic Syndrome,3.97,Moderate,"Environmental Factors, Smoking Status, Family History","Stress, Diet",Low,Moderate,4.99,3.81,Low,5.21,3.2,1.06,4.56,6.46,1.53,1.65,6.32,4.44,1.92,3.01,1.21,6.73,8.31
Tonsillitis,4.97,Moderate,"Diet Quality, Smoking Status, Alcohol Consumption","Smoking, Stress",Low,Moderate,6.37,6.0,High,6.89,7.52,4.93,1.43,5.35,4.86,2.23,2.54,3.52,6.55,6.66,7.81,7.27,2.04
Macular Degeneration,5.46,Moderate,"Gender, Smoking Status, Stress Level","Exercise, Sleep",Low,High,4.55,5.67,Low,5.72,4.83,8.05,5.03,7.13,6.15,1.07,4.7,6.87,1.34,6.9,8.67,1.11,8.86
Breast Cancer,4.99,Moderate,"Sleep Quality, Alcohol Consumption, Gender","Stress, Exercise",Low,Low,4.09,4.99,Moderate,4.17,1.04,6.73,8.26,1.69,5.58,3.42,4.91,2.35,5.57,6.24,9.27,3.52,7.16
Typhoid,5.2,Moderate,"Environmental Factors, Family History, Cholesterol Level","Smoking, Diet",Moderate,Low,7.66,4.97,High,6.78,7.17,1.58,8.36,5.85,5.65,1.48,1.03,7.97,2.07,2.82,5.16,8.94,7.95
Tonsillitis,6.03,Moderate,"Environmental Factors, BMI, Gender","Sleep, Stress",Moderate,High,8.16,7.71,Low,2.45,5.39,8.8,6.42,7.96,2.4,9.55,6.11,4.33,6.64,4.28,6.96,3.98,9.16
Cholecystitis,6.05,Moderate,"Blood Sugar Level, Gender, Age","Smoking, Diet",High,High,5.65,7.61,High,3.29,4.06,9.51,9.42,8.09,5.19,1.28,1.6,2.55,8.79,9.78,2.01,9.36,9.74
Cataracts,6.71,High,"Smoking Status, Diet Quality, Gender","Sleep, Exercise",High,Low,8.36,7.19,Low,8.73,5.98,9.89,3.92,4.35,8.37,7.44,4.52,9.23,7.3,5.73,8.14,2.94,7.33
Coronary Artery Disease,5.19,Moderate,"Gender, Blood Sugar Level, Family History","Exercise, Diet",Low,High,5.97,5.49,Low,9.35,1.9,7.55,5.19,4.27,2.85,9.51,3.77,9.44,1.62,2.08,3.41,9.64,2.02
Hypothyroidism,4.95,Moderate,"Blood Sugar Level, Environmental Factors, BMI","Smoking, Stress",Low,High,5.93,5.83,High,8.04,3.99,8.77,4.8,3.8,3.67,9.19,5.77,1.7,5.07,1.73,7.69,3.74,1.28
Tonsillitis,6.84,High,"Blood Pressure, Family History, Physical Activity","Sleep, Diet",Moderate,Low,6.29,7.71,High,6.25,9.12,8.53,9.32,6.58,6.01,1.47,3.46,7.3,8.11,5.19,7.77,7.3,9.38
Breast Cancer,4.91,Moderate,"Cholesterol Level, Alcohol Consumption, BMI","Exercise, Smoking",Low,High,7.27,5.7,High,6.51,5.1,5.57,7.57,1.47,8.35,6.1,5.93,2.78,4.52,6.71,1.88,4.95,1.25
Common Cold,5.19,Moderate,"Family History, Blood Sugar Level, BMI","Exercise, Smoking",High,Low,7.32,5.71,Moderate,2.58,5.23,6.58,4.57,8.41,1.07,3.16,1.38,6.56,7.12,3.4,9.25,8.79,4.54
Macular Degeneration,4.74,Moderate,"Gender, Blood Sugar Level, Age","Stress, Diet",High,High,4.48,4.91,Moderate,4.67,4.19,2.48,1.29,3.44,7.56,5.9,7.72,7.32,4.78,4.43,4.43,4.06,4.09
Common Cold,5.86,Moderate,"Physical Activity, Gender, Environmental Factors","Diet, Exercise",Unknown,Moderate,7.1,5.29,High,3.11,6.67,5.43,7.26,5.58,6.09,2.95,2.66,9.76,8.9,9.92,6.68,3.83,3.21
IBS,4.33,Moderate,"Stress Level, Alcohol Consumption, Blood Sugar Level","Smoking, Diet",Moderate,Low,5.18,4.99,Low,2.41,1.66,1.39,4.79,7.19,8.66,9.07,5.33,1.72,1.1,8.26,1.3,5.41,2.3
Acid Reflux,5.04,Moderate,"Stress Level, Smoking Status, Physical Activity","Sleep, Exercise",Low,Moderate,4.07,5.83,Low,1.73,1.87,6.18,1.06,7.63,4.24,7.59,3.04,9.11,3.27,7.83,3.87,5.09,8.07
