drug_1,drug_2,interaction_severity,interaction_type,clinical_effect,mechanism,management,evidence_level,onset_time,age_considerations
Acetaminophen,Cetirizine,Severe,Pharmacodynamic,Contraindicated combination,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Elderly
Levothyroxine,Hydrochlorothiazide,Moderate,Pharmacodynamic,Increased side effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,All ages
Amoxicillin,Prednisone,Minor,Pharmacokinetic,Slight efficacy reduction,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Elderly
Hydrochlorothiazide,Atorvastatin,Major,Pharmacodynamic,Significant adverse effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),All ages
Omeprazole,Warfarin,Major,Antagonistic,Significant adverse effects,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Pediatric
Levothyroxine,Albuterol,Severe,Antagonistic,Life-threatening reactions,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Elderly
Ibuprofen,Acetaminophen,Moderate,Pharmacodynamic,Increased side effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,Adults only
Amoxicillin,Diphenhydramine,Severe,Synergistic,Contraindicated combination,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Elderly
Lorazepam,Albuterol,Minor,Pharmacokinetic,Slight efficacy reduction,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),All ages
Atorvastatin,Sertraline,Severe,Pharmacokinetic,Life-threatening reactions,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),All ages
Losartan,Metformin,Moderate,Synergistic,Reduced effectiveness,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Pediatric
Diphenhydramine,Montelukast,Moderate,Antagonistic,Requires monitoring,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),Pediatric
Tramadol,Metformin,Minor,Pharmacodynamic,Mild side effect increase,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,Adults only
Warfarin,Omeprazole,Major,Synergistic,Dosage adjustment needed,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Pediatric
Albuterol,Acetaminophen,Major,Pharmacokinetic,Dosage adjustment needed,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),All ages
Warfarin,Ibuprofen,Major,Synergistic,Dosage adjustment needed,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,Elderly
Gabapentin,Atorvastatin,Severe,Synergistic,Avoid concurrent use,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),All ages
Acetaminophen,Clonazepam,Major,Pharmacokinetic,Significant adverse effects,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),All ages
Clonazepam,Hydrochlorothiazide,Moderate,Pharmacokinetic,Reduced effectiveness,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Elderly
Metformin,Losartan,Severe,Pharmacodynamic,Contraindicated combination,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,All ages
Atorvastatin,Diphenhydramine,Severe,Antagonistic,Life-threatening reactions,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Elderly
Metformin,Albuterol,Severe,Synergistic,Avoid concurrent use,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Elderly
Gabapentin,Ibuprofen,Severe,Pharmacodynamic,Avoid concurrent use,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),All ages
Metformin,Atorvastatin,Minor,Pharmacodynamic,Slight efficacy reduction,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Pediatric
Sertraline,Albuterol,Severe,Antagonistic,Contraindicated combination,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Adults only
Acetaminophen,Sertraline,Severe,Pharmacokinetic,Avoid concurrent use,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Elderly
Prednisone,Acetaminophen,Minor,Synergistic,Mild side effect increase,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Adults only
Diphenhydramine,Sertraline,Severe,Antagonistic,Avoid concurrent use,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Adults only
Clonazepam,Hydrochlorothiazide,Moderate,Pharmacodynamic,Requires monitoring,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),All ages
Lorazepam,Diphenhydramine,Moderate,Pharmacodynamic,Requires monitoring,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Adults only
Lorazepam,Acetaminophen,Severe,Antagonistic,Contraindicated combination,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),All ages
Montelukast,Albuterol,Moderate,Antagonistic,Requires monitoring,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Elderly
Gabapentin,Lisinopril,Minor,Antagonistic,Slight efficacy reduction,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Pediatric
Insulin,Cetirizine,Severe,Pharmacokinetic,Life-threatening reactions,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Elderly
Hydrochlorothiazide,Prednisone,Moderate,Synergistic,Reduced effectiveness,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Adults only
Hydrochlorothiazide,Furosemide,Moderate,Antagonistic,Reduced effectiveness,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Elderly
Levothyroxine,Gabapentin,Severe,Synergistic,Contraindicated combination,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Elderly
Amoxicillin,Tramadol,Severe,Antagonistic,Contraindicated combination,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Pediatric
Levothyroxine,Acetaminophen,Minor,Synergistic,Slight efficacy reduction,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Pediatric
Omeprazole,Prednisone,Moderate,Pharmacodynamic,Requires monitoring,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,All ages
Diphenhydramine,Ibuprofen,Minor,Antagonistic,Mild side effect increase,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Adults only
Levothyroxine,Gabapentin,Major,Antagonistic,Substantial efficacy loss,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),All ages
Clonazepam,Gabapentin,Major,Synergistic,Significant adverse effects,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Adults only
Levothyroxine,Clonazepam,Severe,Pharmacokinetic,Avoid concurrent use,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Adults only
Warfarin,Levothyroxine,Severe,Synergistic,Contraindicated combination,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Adults only
Albuterol,Gabapentin,Major,Pharmacokinetic,Significant adverse effects,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Pediatric
Losartan,Sertraline,Severe,Antagonistic,Life-threatening reactions,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Adults only
Prednisone,Tramadol,Minor,Pharmacokinetic,Slight efficacy reduction,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Adults only
Metformin,Hydrochlorothiazide,Moderate,Pharmacokinetic,Requires monitoring,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Elderly
