disease,precaution_1,precaution_2,precaution_3,precaution_4,precaution_5,precaution_6,severity_level,urgency,follow_up_days
PCOS,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,,Mild,Medium,41
ADHD,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,,,Critical,High,89
Parkinsons Disease,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,,Mild,High,7
Bipolar Disorder,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,,Severe,Medium,52
Hernia,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Critical,High,69
Constipation,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,,Moderate,High,59
Insomnia,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,,Severe,Medium,57
IBS,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Moderate,Low,79
Insomnia,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,,Moderate,Low,48
GERD,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Severe,High,70
Mumps,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Severe,Low,3
Measles,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Severe,Medium,22
Cataracts,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Severe,Emergency,76
Back Pain,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,,,Mild,Emergency,2
Hypertension,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,,,Mild,Low,18
COVID-19,Get vaccinated and boosted as recommended,Monitor oxygen saturation with pulse oximeter,Maintain 6+ feet distance from others,Isolate for minimum 5-10 days from symptom onset,,,Mild,High,68
Mumps,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Mild,High,42
Skin Cancer,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,,,Mild,Emergency,4
Lung Cancer,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Moderate,Medium,57
Thyroid Disorder,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,,Mild,Emergency,83
Diabetes Type 2,Follow carbohydrate counting and portion control,Monitor for signs of diabetic complications,Check blood glucose levels 2-4 times daily as directed,Get annual eye exams and foot inspections,Take metformin or other medications as prescribed,,Critical,Medium,80
PTSD,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,,,Moderate,Low,40
Back Pain,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,,,Severe,Low,70
Chronic Fatigue,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,,Severe,Low,82
GERD,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,,,Critical,Medium,71
