disease,description,icd_10_code,category,contagious,duration_days,mortality_rate,prevalence_per_100k,age_group_risk,complications,last_updated
Crohns Disease,Crohns Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U99.1,Infectious,No,14-30,8.61,1290,Children,May lead to various complications if left untreated,2024-12-26
Psoriasis,Psoriasis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,T73.6,Respiratory,Yes,7-14,10.217,1651,Adults,May lead to various complications if left untreated,2025-06-08
Colon Cancer,Colon Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,C38.3,Neurological,Partially,Chronic,11.457,2960,Adults,May lead to various complications if left untreated,2025-01-03
PTSD,PTSD is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E46.1,Infectious,Partially,Chronic,11.11,1372,Elderly,May lead to various complications if left untreated,2025-05-20
Bipolar Disorder,Bipolar Disorder is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F47.9,Neurological,Yes,7-14,10.423,4853,Adults,May lead to various complications if left untreated,2025-08-08
Endometriosis,Endometriosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I37.7,Respiratory,Partially,3-7,4.457,590,All ages,May lead to various complications if left untreated,2025-08-25
Heart Disease,"Broad term for conditions affecting heart and blood vessels, including coronary artery disease, heart failure, arrhythmias, and valvular diseases. Leading cause of death globally.",I25.9,Cardiovascular,No,Chronic,23.1,665,Adults,May lead to various complications if left untreated,2024-12-13
Kidney Stones,Kidney Stones is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B14.1,Neurological,Yes,7-14,4.407,833,All ages,May lead to various complications if left untreated,2025-08-27
Hearing Loss,Hearing Loss is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,H68.7,Endocrine,No,3-7,12.505,3136,All ages,May lead to various complications if left untreated,2025-04-26
Varicose Veins,Varicose Veins is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U89.1,Infectious,Yes,7-14,7.509,2757,All ages,May lead to various complications if left untreated,2025-06-18
Anxiety Disorder,Anxiety Disorder is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B17.5,Cardiovascular,No,3-7,5.632,4564,All ages,May lead to various complications if left untreated,2025-04-21
Chronic Fatigue,Chronic Fatigue is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y44.8,Neurological,Partially,Chronic,10.358,1860,Adults,May lead to various complications if left untreated,2025-05-25
Thyroid Disorder,Thyroid Disorder is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,S73.6,Endocrine,No,7-14,9.561,941,Adults,May lead to various complications if left untreated,2024-12-25
Sciatica,Sciatica is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D33.5,Infectious,Partially,7-14,5.273,3046,Elderly,May lead to various complications if left untreated,2024-09-25
Psoriasis,Psoriasis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,N61.6,Cardiovascular,Partially,3-7,6.01,2877,Adults,May lead to various complications if left untreated,2024-10-29
Constipation,Constipation is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,N92.5,Infectious,No,14-30,11.114,2159,Children,May lead to various complications if left untreated,2025-04-07
Dermatitis,Dermatitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,J42.5,Cardiovascular,No,7-14,5.858,585,Children,May lead to various complications if left untreated,2025-02-17
Stroke,Stroke is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G45.0,Cardiovascular,No,Chronic,3.256,4937,Elderly,May lead to various complications if left untreated,2025-02-22
Bronchitis,Bronchitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D51.7,Neurological,Yes,14-30,9.31,3254,Elderly,May lead to various complications if left untreated,2024-12-22
Salmonella,Salmonella is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B36.4,Respiratory,Yes,14-30,2.096,3407,Adults,May lead to various complications if left untreated,2025-06-13
Lung Cancer,Lung Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,M45.7,Neurological,No,14-30,6.568,3637,Elderly,May lead to various complications if left untreated,2025-06-10
Hepatitis A,Hepatitis A is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,A50.8,Cardiovascular,Partially,14-30,13.347,2143,All ages,May lead to various complications if left untreated,2024-11-15
Ear Infection,Ear Infection is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G61.1,Infectious,Partially,Chronic,5.432,1942,Adults,May lead to various complications if left untreated,2025-05-27
Measles,Measles is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D85.9,Infectious,Partially,14-30,13.96,2214,Elderly,May lead to various complications if left untreated,2024-12-09
Diabetes Type 1,Diabetes Type 1 is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y20.9,Endocrine,Partially,14-30,0.386,2873,Elderly,May lead to various complications if left untreated,2025-01-10
Appendicitis,Appendicitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U47.0,Endocrine,Yes,Chronic,2.311,3765,All ages,May lead to various complications if left untreated,2025-03-05
Pneumonia,Pneumonia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E22.0,Respiratory,No,14-30,4.952,2689,Children,May lead to various complications if left untreated,2024-09-11
Breast Cancer,Breast Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F88.9,Endocrine,No,Chronic,2.628,4946,Adults,May lead to various complications if left untreated,2024-10-02
Hemorrhoids,Hemorrhoids is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D28.9,Cardiovascular,Partially,14-30,9.193,3705,Children,May lead to various complications if left untreated,2025-06-25
Diarrhea,Diarrhea is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,X52.2,Neurological,No,Chronic,13.31,591,All ages,May lead to various complications if left untreated,2025-08-13
Food Poisoning,Food Poisoning is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,T32.4,Respiratory,Partially,3-7,8.324,1003,Elderly,May lead to various complications if left untreated,2025-01-09
Cataracts,Cataracts is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D99.3,Endocrine,Partially,7-14,8.443,2088,Elderly,May lead to various complications if left untreated,2025-06-27
Sciatica,Sciatica is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,X37.6,Endocrine,Partially,14-30,10.343,2822,Children,May lead to various complications if left untreated,2024-11-21
Flu,Flu is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P25.7,Respiratory,Partially,3-7,5.368,3268,All ages,May lead to various complications if left untreated,2025-06-22
Hypothyroidism,Hypothyroidism is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,V71.2,Respiratory,No,7-14,5.476,3397,Adults,May lead to various complications if left untreated,2025-05-13
Hepatitis C,Hepatitis C is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,H55.8,Infectious,Partially,14-30,9.779,2465,Adults,May lead to various complications if left untreated,2025-07-12
Hemorrhoids,Hemorrhoids is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y36.2,Infectious,Yes,Chronic,4.248,2051,Children,May lead to various complications if left untreated,2025-09-05
Heart Failure,Heart Failure is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y72.1,Endocrine,Yes,7-14,13.88,1798,Children,May lead to various complications if left untreated,2025-06-20
Hypothyroidism,Hypothyroidism is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,C89.5,Infectious,Partially,14-30,8.249,1509,All ages,May lead to various complications if left untreated,2025-08-06
Skin Allergies,Skin Allergies is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B81.5,Cardiovascular,Yes,7-14,7.668,4974,Adults,May lead to various complications if left untreated,2024-12-30
Multiple Sclerosis,Multiple Sclerosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,M32.8,Neurological,Partially,3-7,0.374,3654,Adults,May lead to various complications if left untreated,2025-05-07
